배트맨 대 슈퍼맨: 저스티스의 시작	7.0	볼 거리가 많은 영화다. 배트맨과 슈퍼맨이라.... 글쎄, 원작에 대한 이해도가 없다면 이야기의 정당성을 찾기가 매우 난해한 영화가 기억 될 소지가 크다. 그래서 한숨 푸욱 ~~~ [4]	늘행복	2016.03.24	 0
배트맨 대 슈퍼맨: 저스티스의 시작	5.0	영화는 아직 안봤지만 잭 스나이더 지루하게 전개할거같더니 댓글달기	조선일보쓰래기	2016.03.24	 0
배트맨 대 슈퍼맨: 저스티스의 시작	8.0	불멸의 사나이	노마드	2016.03.24	 0
배트맨 대 슈퍼맨: 저스티스의 시작	6.0	미국 의회까지 등장하는 세상 진지한 서사와 캐릭터로 분위기까지 침울하지만 게임이 안될 것 같았던 그들의 액션 만큼은 짧지만 매우 강렬했다.	쌈닭	2016.03.24	 0
배트맨 대 슈퍼맨: 저스티스의 시작	5.0	기대가 큰만큼 실망이큰법. 초반 조드와 슈퍼맨이 싸우는 상황과 마지막 빌런이 에너지방출하는 순간빼고는 모든 과정이 지루했다. 뜬금없이 화해하는것도 그렇지만 속편을 위한 다른 히어로들의 떡밥을 푸는게 어벤져스시리즈에비해 허술해보이기도 했고	Shane Filan	2016.03.24	 0
배트맨 대 슈퍼맨: 저스티스의 시작	7.0	기대감이 많았던 분들에게는 지루한 작품 기대감이 없던 분들에게는 무난한 작품	류호	2016.03.24	 0
배트맨 대 슈퍼맨: 저스티스의 시작	4.0	마자막 30분을 위해 너무 긴 전개 늘어지고 끊어지고...영화보다 나가고 싶다는 생각 두번이나 햇다...너무 급한 마음이 보인다. 마블은 마블 답게 디씨는 디씨답게 갓으면 좋겠다... 댓글달기	과학청년	2016.03.24	 1
배트맨 대 슈퍼맨: 저스티스의 시작	3.0	슈퍼맨 진짜죽나요? [3]	별이되어	2016.03.24	 0
배트맨 대 슈퍼맨: 저스티스의 시작	7.0	너무 기대했나..쩝 겁나 미친듯이 서로 죽이기 위해 싸우다 갑자기 화해.. 뭐지?저 급 화해는?ㅠ 이도 저도 아닌 영화가 되버린듯.. 갠적으로 따로 본 배트맨 시리즈와 맨 오브 스틸이 더 재밌는 듯..	sy	2016.03.24	 1
배트맨 대 슈퍼맨: 저스티스의 시작	9.0	저는 전체적으로 나쁘진 않다고 생각되는데.. 플래시가 시간여행와서 배트맨에게 루이스 레인이 열쇠다 라는 떡밥을 뿌리고 가던데 그거보고 전율	블랙캣	2016.03.24	 0
